section,metric,method,value
cov_error_mean,fro,model,0.027014406127384323
cov_error_mean,kl,model,1095.9757615464441
cov_error_mean,stein,model,2191.9515230929564
cov_error_mean,logeuc,model,89.64862497498005
gmvp_mean,gmvp_var,model,9.881795888593029e-05
gmvp_mean,gmvp_vol,model,0.008236947860562569
gmvp_mean,gmvp_sharpe,model,1.5734983526597723
gmvp_mean,turnover_l1,model,0.46232411943217067
cov_error_mean,fro,mix,0.02567211047440636
cov_error_mean,kl,mix,883.2505532489148
cov_error_mean,stein,mix,1766.5011064978348
cov_error_mean,logeuc,mix,88.14202412312578
gmvp_mean,gmvp_var,mix,8.882854189423501e-05
gmvp_mean,gmvp_vol,mix,0.007860859285724692
gmvp_mean,gmvp_sharpe,mix,1.351302903303126
gmvp_mean,turnover_l1,mix,0.3292259891565193
cov_error_mean,fro,roll,0.028578227053309358
cov_error_mean,kl,roll,630549.3238850113
cov_error_mean,stein,roll,1261098.647770175
cov_error_mean,logeuc,roll,69.09327958479417
gmvp_mean,gmvp_var,roll,8.776548022990906e-05
gmvp_mean,gmvp_vol,roll,0.007772104034370866
gmvp_mean,gmvp_sharpe,roll,1.0359734963203853
gmvp_mean,turnover_l1,roll,0.2452906475170938
cov_error_mean,fro,pers,0.030433729799564234
cov_error_mean,kl,pers,1237998.9126362756
cov_error_mean,stein,pers,2475997.825273246
cov_error_mean,logeuc,pers,58.75916487923254
gmvp_mean,gmvp_var,pers,8.93249821377893e-05
gmvp_mean,gmvp_vol,pers,0.008000018534676811
gmvp_mean,gmvp_sharpe,pers,0.9979146910838845
gmvp_mean,turnover_l1,pers,0.47154423323834943
cov_error_mean,fro,shrink,0.025818711554163577
cov_error_mean,kl,shrink,902.8106994753123
cov_error_mean,stein,shrink,1805.6213989506252
cov_error_mean,logeuc,shrink,87.1343130705369
gmvp_mean,gmvp_var,shrink,9.147088893742121e-05
gmvp_mean,gmvp_vol,shrink,0.007892280692678454
gmvp_mean,gmvp_sharpe,shrink,1.1247950777223132
gmvp_mean,turnover_l1,shrink,0.18449164752933256
