section,metric,method,value
cov_error_mean,fro,model,0.02701440612082233
cov_error_mean,kl,model,1095.9757615469143
cov_error_mean,stein,model,2191.9515230938264
cov_error_mean,logeuc,model,89.64862497395377
gmvp_mean,gmvp_var,model,9.881795888452373e-05
gmvp_mean,gmvp_vol,model,0.008236947860561197
gmvp_mean,gmvp_sharpe,model,1.57349835266725
gmvp_mean,turnover_l1,model,0.46232411947465235
cov_error_mean,fro,mix,0.02567211047369228
cov_error_mean,kl,mix,883.250553267889
cov_error_mean,stein,mix,1766.501106535774
cov_error_mean,logeuc,mix,88.14202412235699
gmvp_mean,gmvp_var,mix,8.88285418939132e-05
gmvp_mean,gmvp_vol,mix,0.007860859285722922
gmvp_mean,gmvp_sharpe,mix,1.3513029033764892
gmvp_mean,turnover_l1,mix,0.3292259891633494
cov_error_mean,fro,roll,0.028578227053309358
cov_error_mean,kl,roll,630549.3238837514
cov_error_mean,stein,roll,1261098.6477669463
cov_error_mean,logeuc,roll,69.09327958479066
gmvp_mean,gmvp_var,roll,8.776548022990906e-05
gmvp_mean,gmvp_vol,roll,0.007772104034370866
gmvp_mean,gmvp_sharpe,roll,1.0359734963203853
gmvp_mean,turnover_l1,roll,0.2452906475170939
cov_error_mean,fro,pers,0.030433729799564234
cov_error_mean,kl,pers,1237998.9126357178
cov_error_mean,stein,pers,2475997.8252701904
cov_error_mean,logeuc,pers,58.759164879227285
gmvp_mean,gmvp_var,pers,8.93249821377893e-05
gmvp_mean,gmvp_vol,pers,0.008000018534676811
gmvp_mean,gmvp_sharpe,pers,0.9979146910838856
gmvp_mean,turnover_l1,pers,0.4715442332383493
cov_error_mean,fro,shrink,0.025818711554163577
cov_error_mean,kl,shrink,902.8106994849604
cov_error_mean,stein,shrink,1805.6213989699256
cov_error_mean,logeuc,shrink,87.13431307053884
gmvp_mean,gmvp_var,shrink,9.14708889374212e-05
gmvp_mean,gmvp_vol,shrink,0.007892280692678454
gmvp_mean,gmvp_sharpe,shrink,1.1247950777223128
gmvp_mean,turnover_l1,shrink,0.18449164752933245
