baseline,block,delta,ci_lo,ci_hi,p
pers,10,-0.0529,-0.261,0.169,0.631
pers,20,-0.0529,-0.27,0.201,0.699
pers,40,-0.0529,-0.235,0.2,0.738
pers,60,-0.0529,-0.222,0.186,0.73
shrink,10,0.0357,-0.183,0.265,0.778
shrink,20,0.0357,-0.179,0.278,0.717
shrink,40,0.0357,-0.131,0.26,0.577
shrink,60,0.0357,-0.101,0.249,0.511
roll,10,0.0157,-0.256,0.306,0.93
roll,20,0.0157,-0.255,0.331,0.863
roll,40,0.0157,-0.202,0.323,0.743
roll,60,0.0157,-0.167,0.314,0.707
mix,10,-0.0147,-0.186,0.165,0.85
mix,20,-0.0147,-0.19,0.186,0.907
mix,40,-0.0147,-0.152,0.175,0.985
mix,60,-0.0147,-0.133,0.161,0.999
