section,metric,method,value
cov_error_mean,fro,model,0.03282826103349451
cov_error_mean,kl,model,818.6834934166882
cov_error_mean,stein,model,1637.3669868333418
cov_error_mean,logeuc,model,100.63994975945906
gmvp_mean,gmvp_var,model,0.00019726677120304216
gmvp_mean,gmvp_vol,model,0.01133277755516676
gmvp_mean,gmvp_sharpe,model,1.4397609054801317
gmvp_mean,turnover_l1,model,0.16950951436016243
cov_error_mean,fro,mix,0.025191135015094363
cov_error_mean,kl,mix,428.3529190168457
cov_error_mean,stein,mix,856.7058380336966
cov_error_mean,logeuc,mix,93.95682857823343
gmvp_mean,gmvp_var,mix,9.595538784660464e-05
gmvp_mean,gmvp_vol,mix,0.008397317362931494
gmvp_mean,gmvp_sharpe,mix,1.5579020956618217
gmvp_mean,turnover_l1,mix,0.27465696960869745
cov_error_mean,fro,roll,0.028578227053309358
cov_error_mean,kl,roll,630549.32388466
cov_error_mean,stein,roll,1261098.6477690737
cov_error_mean,logeuc,roll,69.09327958479285
gmvp_mean,gmvp_var,roll,8.831382879630892e-05
gmvp_mean,gmvp_vol,roll,0.00803089859575585
gmvp_mean,gmvp_sharpe,roll,1.45448903124654
gmvp_mean,turnover_l1,roll,0.2452906475170939
cov_error_mean,fro,pers,0.030433729799564234
cov_error_mean,kl,pers,1237998.9126356097
cov_error_mean,stein,pers,2475997.825273053
cov_error_mean,logeuc,pers,58.75916487922811
gmvp_mean,gmvp_var,pers,9.233057239719166e-05
gmvp_mean,gmvp_vol,pers,0.008361322378526347
gmvp_mean,gmvp_sharpe,pers,1.5251629985627806
gmvp_mean,turnover_l1,pers,0.4715442332383493
cov_error_mean,fro,shrink,0.025818711554163577
cov_error_mean,kl,shrink,902.8106994739026
cov_error_mean,stein,shrink,1805.6213989477933
cov_error_mean,logeuc,shrink,87.13431307053945
gmvp_mean,gmvp_var,shrink,9.230449196443722e-05
gmvp_mean,gmvp_vol,shrink,0.008198827474810766
gmvp_mean,gmvp_sharpe,shrink,1.4975296743982403
gmvp_mean,turnover_l1,shrink,0.1844916475293325
