increment,block_anchors,block_trading_days_approx,delta,lo,hi,p,supports_first_better
D5 − D0,4,20,-2.357063958734335e-05,-7.223395851643168e-05,1.3493858464158776e-05,0.3156,False
D5 − D0,8,40,-2.357063958734335e-05,-7.106994348794177e-05,7.951743391237254e-06,0.2332,False
D5 − D0,12,60,-2.357063958734335e-05,-5.6487310075061984e-05,6.698170859645287e-06,0.2824,False
D5 − D0,20,100,-2.357063958734335e-05,-4.735664078990177e-05,5.370723764425311e-06,0.3416,False
D2 − D0,4,20,0.0012147066811762223,-3.84072181241309e-05,0.0030357033858479086,0.088,False
D2 − D0,8,40,0.0012147066811762223,-2.2687586670293337e-05,0.0034367073295640043,0.1136,False
D2 − D0,12,60,0.0012147066811762223,-2.746582088677334e-05,0.003490632910352976,0.1732,False
D2 − D0,20,100,0.0012147066811762223,-3.397946972830228e-05,0.0035178222740790323,0.2628,False
D0 − LW,4,20,-0.00033920618886437313,-0.0018214430081452578,0.0005760021951228921,0.7304,False
D0 − LW,8,40,-0.00033920618886437313,-0.0018529435154262671,0.0005730626946052377,0.7328,False
D0 − LW,12,60,-0.00033920618886437313,-0.0018043065986173153,0.00044663902652403647,0.6808,False
D0 − LW,20,100,-0.00033920618886437313,-0.0017443488796210957,0.00032666374529557876,0.586,False
