filter,contrast,mode,est,lo,hi,covers0,n
full,SIM−EWMA Rcond,compact,0.03713842030789053,-0.009585637015766438,0.10412307533335423,True,247
full,SIM−EWMA Rcond,calendar,0.03713842030789053,-0.009585637015766438,0.10412307533335423,True,247
fut_clean,SIM−EWMA Rcond,compact,1.8974271560815815e-05,2.7404187564737535e-06,2.7320094905111692e-05,False,194
fut_clean,SIM−EWMA Rcond,calendar,1.8974271560815815e-05,3.75036391389248e-06,2.7016354079198745e-05,False,194
either_clean,SIM−EWMA Rcond,compact,2.118735686521661e-05,2.3623118687713015e-06,2.7616706395048797e-05,False,95
either_clean,SIM−EWMA Rcond,calendar,2.118735686521661e-05,-7.186261248916941e-07,2.9061147733918145e-05,True,95
full,SIM−Pers Rcond,compact,0.03560849344009969,-0.002859323475900696,0.09348754645188968,True,247
full,SIM−Pers Rcond,calendar,0.03560849344009969,-0.002859323475900696,0.09348754645188968,True,247
fut_clean,SIM−Pers Rcond,compact,3.0395849933431235e-05,2.124865690134927e-05,3.814834450094988e-05,False,194
fut_clean,SIM−Pers Rcond,calendar,3.0395849933431235e-05,2.156067031924012e-05,3.7597774423483477e-05,False,194
either_clean,SIM−Pers Rcond,compact,3.7670370409347824e-05,2.96201118913072e-05,4.7528595516312935e-05,False,95
either_clean,SIM−Pers Rcond,calendar,3.7670370409347824e-05,2.7249659229463962e-05,4.683626210761887e-05,False,95
full,SIM−LW Stein,compact,35521353.646451876,18634731.743386675,61065351.929666996,False,247
full,SIM−LW Stein,calendar,35521353.646451876,18634731.743386675,61065351.929666996,False,247
fut_clean,SIM−LW Stein,compact,86197.26844879403,73489.62310520314,97391.61915323071,False,194
fut_clean,SIM−LW Stein,calendar,86197.26844879403,73118.50388022928,98007.09507378202,False,194
either_clean,SIM−LW Stein,compact,100617.41138680691,86974.9252610442,112409.9598089567,False,95
either_clean,SIM−LW Stein,calendar,100617.41138680691,82156.35446887907,118596.35791040547,False,95
