eta,metric,method,value,rank
0.001,cond_stein,ledoit_wolf,50332.9601072751,1
0.001,cond_stein,oas,65296.24155907887,2
0.001,cond_stein,shrink,104199.85040408162,3
0.001,cond_stein,ewma,10172713.678814393,4
0.001,cond_stein,rolling,10981749.428326376,5
0.001,cond_stein,persistence,15127013.511863323,6
0.001,cond_stein,D0_pca8,198778058.60965732,7
0.001,cond_kl,ledoit_wolf,25166.48005363755,1
0.001,cond_kl,oas,32648.120779539437,2
0.001,cond_kl,shrink,52099.92520204081,3
0.001,cond_kl,ewma,5086356.839407196,4
0.001,cond_kl,rolling,5490874.714163188,5
0.001,cond_kl,persistence,7563506.755931662,6
0.001,cond_kl,D0_pca8,99389029.30482866,7
0.001,nll,ledoit_wolf,23454.807340698033,1
0.001,nll,oas,30563.32417967995,2
0.001,nll,shrink,49160.94725285415,3
0.001,nll,ewma,4834276.454723833,4
0.001,nll,rolling,5218695.064071997,5
0.001,nll,persistence,7191013.317447122,6
0.001,nll,D0_pca8,95146623.13519914,7
0.001,gmvp_var_raw,ledoit_wolf,0.02485446565338592,1
0.001,gmvp_var_raw,oas,0.02513198476568758,2
0.001,gmvp_var_raw,persistence,0.02650858727600047,3
0.001,gmvp_var_raw,ewma,0.026878114559278563,4
0.001,gmvp_var_raw,rolling,0.03095709866022531,5
0.001,gmvp_var_raw,shrink,0.037337236273883044,6
0.001,gmvp_var_raw,D0_pca8,0.05645280552273548,7
0.001,R_raw,ledoit_wolf,0.024853077452408733,1
0.001,R_raw,oas,0.02513059656471039,2
0.001,R_raw,persistence,0.02650719907502328,3
0.001,R_raw,ewma,0.026876726358301375,4
0.001,R_raw,rolling,0.030955710459248123,5
0.001,R_raw,shrink,0.03733584807290586,6
0.001,R_raw,D0_pca8,0.0564514173217583,7
0.001,R_cond,ledoit_wolf,0.02485432767667984,1
0.001,R_cond,oas,0.025133145693638163,2
0.001,R_cond,persistence,0.02650928424484908,3
0.001,R_cond,ewma,0.026889098700001415,4
0.001,R_cond,rolling,0.03096885413112022,5
0.001,R_cond,shrink,0.03734027342806242,6
0.001,R_cond,D0_pca8,0.05648277296756332,7
0.01,cond_stein,ledoit_wolf,50611.86985213669,1
0.01,cond_stein,oas,65726.94837026077,2
0.01,cond_stein,shrink,99281.45637227297,3
0.01,cond_stein,ewma,1083304.288612326,4
0.01,cond_stein,rolling,1131281.16513374,5
0.01,cond_stein,persistence,1527856.1054936638,6
0.01,cond_stein,D0_pca8,35571965.51630401,7
0.01,cond_kl,ledoit_wolf,25305.934926068345,1
0.01,cond_kl,oas,32863.474185130384,2
0.01,cond_kl,shrink,49640.72818613648,3
0.01,cond_kl,ewma,541652.144306163,4
0.01,cond_kl,rolling,565640.58256687,5
0.01,cond_kl,persistence,763928.0527468319,6
0.01,cond_kl,D0_pca8,17785982.758152004,7
0.01,nll,ledoit_wolf,23454.807340698033,1
0.01,nll,oas,30563.32417967995,2
0.01,nll,shrink,46485.67665743892,3
0.01,nll,ewma,509975.81500179105,4
0.01,nll,rolling,532418.5374373157,5
0.01,nll,persistence,719492.7522711573,6
0.01,nll,D0_pca8,16791282.757262956,7
0.01,gmvp_var_raw,ewma,0.023018932028040125,1
0.01,gmvp_var_raw,persistence,0.024630388784278125,2
0.01,gmvp_var_raw,ledoit_wolf,0.02485446565338592,3
0.01,gmvp_var_raw,oas,0.02513198476568758,4
0.01,gmvp_var_raw,rolling,0.025981969807028805,5
0.01,gmvp_var_raw,shrink,0.03639244564719924,6
0.01,gmvp_var_raw,D0_pca8,0.0600948114596548,7
0.01,R_raw,ewma,0.023010367615502264,1
0.01,R_raw,persistence,0.024621824371740264,2
0.01,R_raw,ledoit_wolf,0.024845901240848057,3
0.01,R_raw,oas,0.025123420353149715,4
0.01,R_raw,rolling,0.025973405394490945,5
0.01,R_raw,shrink,0.03638388123466139,6
0.01,R_raw,D0_pca8,0.06008624704711694,7
0.01,R_cond,ewma,0.023131436793726295,1
0.01,R_cond,persistence,0.024661363661517142,2
0.01,R_cond,ledoit_wolf,0.024881572124064825,3
0.01,R_cond,oas,0.025173758232448436,4
0.01,R_cond,rolling,0.026112270375451826,5
0.01,R_cond,shrink,0.03644253331427015,6
0.01,R_cond,D0_pca8,0.06026985710161683,7
0.05,cond_stein,ledoit_wolf,52595.79527068172,1
0.05,cond_stein,oas,68345.58860473755,2
0.05,cond_stein,shrink,101461.42375223756,3
0.05,cond_stein,rolling,256421.99289207984,4
0.05,cond_stein,ewma,260774.1994153756,5
0.05,cond_stein,persistence,318928.4555934872,6
0.05,cond_stein,D0_pca8,8662500.073343426,7
