eta,metric,method,value,rank
0.001,cond_stein,ledoit_wolf,568.4615698820737,1
0.001,cond_stein,oas,638.3399206951727,2
0.001,cond_stein,shrink,655.5165875675366,3
0.001,cond_stein,rolling,35757.27449587265,4
0.001,cond_stein,ewma,36841.86193713364,5
0.001,cond_stein,persistence,71870.95669384263,6
0.001,cond_stein,D0_pca8,718410.1208616095,7
0.001,cond_kl,ledoit_wolf,284.23078494103686,1
0.001,cond_kl,oas,319.169960347586,2
0.001,cond_kl,shrink,327.758293783768,3
0.001,cond_kl,rolling,17878.637247936225,4
0.001,cond_kl,ewma,18420.930968566754,5
0.001,cond_kl,persistence,35935.47834692142,6
0.001,cond_kl,D0_pca8,359205.06043080473,7
0.001,nll,ledoit_wolf,-231.30452803717148,1
0.001,nll,oas,-196.40999778105916,2
0.001,nll,shrink,-188.7808518487744,3
0.001,nll,rolling,17166.914886664585,4
0.001,nll,ewma,17719.322220364287,5
0.001,nll,persistence,35204.558362908545,6
0.001,nll,D0_pca8,356376.35781066515,7
0.001,gmvp_var_raw,shrink,9.255888142406251e-05,1
0.001,gmvp_var_raw,ledoit_wolf,9.735629851677587e-05,2
0.001,gmvp_var_raw,persistence,9.784799197339381e-05,3
0.001,gmvp_var_raw,oas,9.915729128564017e-05,4
0.001,gmvp_var_raw,rolling,0.00015225445847121222,5
0.001,gmvp_var_raw,ewma,0.00015258903379427035,6
0.001,gmvp_var_raw,D0_pca8,0.00020478893609791386,7
0.001,R_raw,shrink,9.25579971544653e-05,1
0.001,R_raw,ledoit_wolf,9.735541424717865e-05,2
0.001,R_raw,persistence,9.78471077037966e-05,3
0.001,R_raw,oas,9.915640701604296e-05,4
0.001,R_raw,rolling,0.000152253574201615,5
0.001,R_raw,ewma,0.00015258814952467313,6
0.001,R_raw,D0_pca8,0.00020478805182831664,7
0.001,R_cond,shrink,9.253312563151668e-05,1
0.001,R_cond,ledoit_wolf,9.730696193047892e-05,2
0.001,R_cond,persistence,9.781102914373205e-05,3
0.001,R_cond,oas,9.913055655291341e-05,4
0.001,R_cond,rolling,0.00015232563697299982,5
0.001,R_cond,ewma,0.00015266292323366844,6
0.001,R_cond,D0_pca8,0.00020489703686622218,7
0.01,cond_stein,ledoit_wolf,384.3556331590668,1
0.01,cond_stein,oas,455.9098723899124,2
0.01,cond_stein,shrink,475.5008343092269,3
0.01,cond_stein,rolling,3749.81394689682,4
0.01,cond_stein,ewma,4000.965098875679,5
0.01,cond_stein,persistence,7195.373123678941,6
0.01,cond_stein,D0_pca8,190198.94336195718,7
0.01,cond_kl,ledoit_wolf,192.1778165795334,1
0.01,cond_kl,oas,227.95493619495622,2
0.01,cond_kl,shrink,237.75041715461342,3
0.01,cond_kl,rolling,1874.90697344841,4
0.01,cond_kl,ewma,2000.48254943784,5
0.01,cond_kl,persistence,3597.6865618394695,6
0.01,cond_kl,D0_pca8,95099.47168097859,7
0.01,nll,ledoit_wolf,-231.30452803717148,1
0.01,nll,oas,-196.40999778105916,2
0.01,nll,shrink,-187.80351843591149,3
0.01,nll,rolling,1406.9890916556774,4
0.01,nll,ewma,1531.7575799074475,5
0.01,nll,persistence,3111.6619782323614,6
0.01,nll,D0_pca8,92708.50504083409,7
0.01,gmvp_var_raw,shrink,9.25610401749536e-05,1
0.01,gmvp_var_raw,persistence,9.734195631554585e-05,2
0.01,gmvp_var_raw,ledoit_wolf,9.735629851677587e-05,3
0.01,gmvp_var_raw,oas,9.915729128564017e-05,4
0.01,gmvp_var_raw,ewma,0.00012907361746804176,5
0.01,gmvp_var_raw,rolling,0.0001394065424679407,6
0.01,gmvp_var_raw,D0_pca8,0.00015764530958814336,7
0.01,R_raw,shrink,9.254197626317723e-05,1
0.01,R_raw,persistence,9.73228924037695e-05,2
0.01,R_raw,ledoit_wolf,9.733723460499951e-05,3
0.01,R_raw,oas,9.91382273738638e-05,4
0.01,R_raw,ewma,0.0001290545535562654,5
0.01,R_raw,rolling,0.00013938747855616433,6
0.01,R_raw,D0_pca8,0.00015762624567636698,7
0.01,R_cond,shrink,9.232420526290912e-05,1
0.01,R_cond,ledoit_wolf,9.688413284512027e-05,2
0.01,R_cond,persistence,9.697727958044413e-05,3
0.01,R_cond,oas,9.891336737582705e-05,4
0.01,R_cond,ewma,0.00012944990578061687,5
0.01,R_cond,rolling,0.00013989680711384115,6
0.01,R_cond,D0_pca8,0.00015783813240322382,7
0.05,cond_stein,ledoit_wolf,264.8663115115132,1
0.05,cond_stein,oas,343.86894371012426,2
0.05,cond_stein,shrink,364.6385703734629,3
0.05,cond_stein,rolling,863.3557323445932,4
0.05,cond_stein,ewma,971.3202410856301,5
0.05,cond_stein,persistence,1445.0212827789937,6
0.05,cond_stein,D0_pca8,49900.267948161825,7
0.05,cond_kl,ledoit_wolf,132.43315575575662,1
0.05,cond_kl,oas,171.93447185506218,2
0.05,cond_kl,shrink,182.3192851867315,3
