construction,method,terminal_wealth,ann_sharpe,ann_return,n_periods
tranched,model,3.6653247088622467,0.6790702969991995,0.10511256187403295,3275
tranched,mix,3.3229263731786953,0.6856392529500804,0.09680451059255302,3275
tranched,roll,2.9942872340872326,0.6404905696396234,0.08805073214994352,3275
tranched,shrink,3.0170918837700227,0.6319506496429484,0.08868613114911184,3275
tranched,pers,3.4520595282442046,0.7069135202816009,0.10002682272228869,3275
nonoverlap,model,3.728956222287304,0.6855955264573276,0.10674846515685732,3270
nonoverlap,mix,3.3480739036544436,0.6879782777552709,0.09759702239169843,3270
nonoverlap,roll,2.8910256672622388,0.6181014166460082,0.0852520348020811,3270
nonoverlap,shrink,2.889029102061424,0.6082307942518206,0.08519425801429148,3270
nonoverlap,pers,3.5904490691445705,0.7200424022248311,0.10352482386742468,3270
