section,metric,method,value
cov_error_mean,fro,model,0.027014406124607777
cov_error_mean,kl,model,1095.9757615317887
cov_error_mean,stein,model,2191.951523063581
cov_error_mean,logeuc,model,89.64862497474095
gmvp_mean,gmvp_var,model,0.00011150960874705086
gmvp_mean,gmvp_vol,model,0.008916435981357686
gmvp_mean,gmvp_sharpe,model,1.5662320936562002
gmvp_mean,turnover_l1,model,0.46232411944150864
cov_error_mean,fro,mix,0.025672110474008962
cov_error_mean,kl,mix,883.2505532815694
cov_error_mean,stein,mix,1766.501106563135
cov_error_mean,logeuc,mix,88.14202412293032
gmvp_mean,gmvp_var,mix,9.086832034616634e-05
gmvp_mean,gmvp_vol,mix,0.008188941601496932
gmvp_mean,gmvp_sharpe,mix,1.5511580992410952
gmvp_mean,turnover_l1,mix,0.32922598915778234
cov_error_mean,fro,roll,0.028578227053309358
cov_error_mean,kl,roll,630549.3238837514
cov_error_mean,stein,roll,1261098.6477669463
cov_error_mean,logeuc,roll,69.09327958479066
gmvp_mean,gmvp_var,roll,8.831382879630892e-05
gmvp_mean,gmvp_vol,roll,0.00803089859575585
gmvp_mean,gmvp_sharpe,roll,1.4544890312465402
gmvp_mean,turnover_l1,roll,0.2452906475170939
cov_error_mean,fro,pers,0.030433729799564234
cov_error_mean,kl,pers,1237998.9126357178
cov_error_mean,stein,pers,2475997.8252701904
cov_error_mean,logeuc,pers,58.759164879227285
gmvp_mean,gmvp_var,pers,9.233057239719168e-05
gmvp_mean,gmvp_vol,pers,0.008361322378526348
gmvp_mean,gmvp_sharpe,pers,1.5251629985627806
gmvp_mean,turnover_l1,pers,0.4715442332383493
cov_error_mean,fro,shrink,0.025818711554163577
cov_error_mean,kl,shrink,902.8106994849604
cov_error_mean,stein,shrink,1805.6213989699256
cov_error_mean,logeuc,shrink,87.13431307053884
gmvp_mean,gmvp_var,shrink,9.230449196443722e-05
gmvp_mean,gmvp_vol,shrink,0.008198827474810766
gmvp_mean,gmvp_sharpe,shrink,1.49752967439824
gmvp_mean,turnover_l1,shrink,0.18449164752933245
