mode,run_tag,regime_clustering,knn_metric,pca_k,tau,k_neighbors,primary_metric,model_mean,mix_mean,model_stein_mean,mix_stein_mean,model_logeuc_mean,mix_logeuc_mean,model_gmvp_sharpe_mean,mix_gmvp_sharpe_mean,roll_gmvp_sharpe_mean,pers_gmvp_sharpe_mean,shrink_gmvp_sharpe_mean,model_gmvp_var_mean,mix_gmvp_var_mean,roll_gmvp_var_mean,pers_gmvp_var_mean,shrink_gmvp_var_mean,model_gmvp_vol_mean,mix_gmvp_vol_mean,roll_gmvp_vol_mean,pers_gmvp_vol_mean,shrink_gmvp_vol_mean,model_turnover_l1_mean,mix_turnover_l1_mean,roll_turnover_l1_mean,pers_turnover_l1_mean,shrink_turnover_l1_mean,_objective,is_pareto
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=2.0|k_neighbors=10,fuzzy_cmeans,lp_p1,40,2.0,10,fro,0.0235705436387782,0.0222708433137482,1016.323446729023,821.7408816937026,96.9020107712755,92.7391431853745,1.942699868490929,1.8133334994181691,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001102822222519,9.825871209182825e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0083889901425468,0.0078626859334272,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.2654816115402642,0.183830074271518,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.942699868490929,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=2.0|k_neighbors=10,fuzzy_cmeans,l1,40,2.0,10,fro,0.0235705436387782,0.0222708433137482,1016.323446729023,821.7408816937026,96.9020107712755,92.7391431853745,1.942699868490929,1.8133334994181691,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001102822222519,9.825871209182825e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0083889901425468,0.0078626859334272,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.2654816115402642,0.183830074271518,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.942699868490929,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=2.0|k_neighbors=50,fuzzy_cmeans,lp_p1,40,2.0,50,fro,0.0235703726256253,0.0222706805426743,1016.2377850042697,821.7376397306929,96.89939061470676,92.73794311958856,1.9425369823562604,1.813273244300625,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001102794255615,9.825773005540897e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0083888439915216,0.0078626283249636,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.2655614546343481,0.1838744487851691,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.9425369823562604,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=2.0|k_neighbors=50,fuzzy_cmeans,l1,40,2.0,50,fro,0.0235703726256253,0.0222706805426743,1016.2377850042697,821.7376397306929,96.89939061470676,92.73794311958856,1.9425369823562604,1.813273244300625,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001102794255615,9.825773005540897e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0083888439915216,0.0078626283249636,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.2655614546343481,0.1838744487851691,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.9425369823562604,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=1.0|k_neighbors=50,fuzzy_cmeans,l1,40,1.0,50,fro,0.0235648636570804,0.0222953776564042,848.3824845020764,811.8871097979296,100.67381350407302,94.22069328008136,1.9421721152678404,1.8096433630772817,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001112214105245,9.854256482516614e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0084496807595067,0.0078830940344588,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.1892166996846298,0.1603074732695377,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.9421721152678404,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=1.0|k_neighbors=50,fuzzy_cmeans,lp_p1,40,1.0,50,fro,0.0235648636570804,0.0222953776564042,848.3824845020764,811.8871097979296,100.67381350407302,94.22069328008136,1.9421721152678404,1.8096433630772817,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001112214105245,9.854256482516614e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0084496807595067,0.0078830940344588,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.1892166996846298,0.1603074732695377,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.9421721152678404,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=1.0|k_neighbors=10,fuzzy_cmeans,lp_p1,40,1.0,10,fro,0.0235648636570804,0.0222953776564042,848.3824845021037,811.8871097979454,100.67381350407304,94.22069328008138,1.94217211526784,1.8096433630772817,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001112214105245,9.854256482516614e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0084496807595067,0.0078830940344588,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.1892166996846298,0.1603074732695378,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.94217211526784,False
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=1.0|k_neighbors=10,fuzzy_cmeans,l1,40,1.0,10,fro,0.0235648636567889,0.0222953776562677,848.382484505063,811.8871097994365,100.6738135044696,94.22069328037618,1.9421721152348472,1.8096433630634012,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001112214105249,9.854256482519166e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0084496807595401,0.0078830940344606,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.1892166996803637,0.1603074732681216,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.9421721152348472,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=48|tau=1.0|k_neighbors=50,fuzzy_cmeans,lp_p1,48,1.0,50,fro,0.0235648644054312,0.0222953776336797,848.382501000185,811.8871143128621,100.6738159947813,94.22069498331818,1.942172065479101,1.8096433560480027,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001112214179149,9.854256656164296e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0084496810476398,0.0078830940981469,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.1892166254272874,0.1603074546537397,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.942172065479101,True
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=48|tau=1.0|k_neighbors=50,fuzzy_cmeans,l1,48,1.0,50,fro,0.0235648644054312,0.0222953776336797,848.382501000185,811.8871143128621,100.6738159947813,94.22069498331818,1.942172065479101,1.8096433560480027,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001112214179149,9.854256656164296e-05,9.16986454685704e-05,9.35057756451335e-05,9.577285016414472e-05,0.0084496810476398,0.0078830940981469,0.0076470988132988,0.0078925594241406,0.0077648754435034,0.1892166254272874,0.1603074546537397,0.2392887989721949,0.4456611046578845,0.1802866762041816,1.942172065479101,True
