reference,metric,baseline,n_pairs,median_advantage,wilcoxon_p,sig
mix,fro,shrink,662,-0.00010288930034109975,0.7047086224580827,
mix,fro,roll,662,0.00023615112674784788,8.556898559375627e-09,***
mix,fro,pers,662,0.0018640730738117505,1.4245688859252605e-70,***
mix,stein,shrink,662,-42.629133141661896,1.339623675911778e-54,***
mix,stein,roll,662,912956.7087032972,4.5495979914896506e-110,***
mix,stein,pers,662,1820662.343500123,4.5495979914896506e-110,***
mix,kl,shrink,662,-21.31456657095015,1.339623675911778e-54,***
mix,kl,roll,662,456478.3543505997,4.5495979914896506e-110,***
mix,kl,pers,662,910331.1717502421,4.5495979914896506e-110,***
mix,gmvp_sharpe,shrink,369,0.10499568599752418,7.402686106845674e-05,***
mix,gmvp_sharpe,roll,369,0.11975310925893812,8.273089088067893e-06,***
mix,gmvp_sharpe,pers,369,-0.03382002168020948,0.7770843355718714,
mix,gmvp_var,shrink,369,1.2352415297955645e-08,0.7658922755086655,
mix,gmvp_var,roll,369,-8.713994336383924e-07,1.307103190695603e-07,***
mix,gmvp_var,pers,369,1.5537281133782483e-06,6.492683398162474e-15,***
mix,turnover_l1,shrink,661,-0.1416753288349526,9.218587946010861e-97,***
mix,turnover_l1,roll,661,-0.09159139426765761,6.773632643879066e-57,***
mix,turnover_l1,pers,661,0.13161937974082388,6.741153741861492e-82,***
