section,metric,method,value
cov_error_mean,fro,model,0.02654122804876339
cov_error_mean,kl,model,1265.9718319404624
cov_error_mean,stein,model,2531.943663880855
cov_error_mean,logeuc,model,79.02706528503025
gmvp_mean,gmvp_var,model,8.867539561426302e-05
gmvp_mean,gmvp_vol,model,0.007802340545423181
gmvp_mean,gmvp_sharpe,model,1.102053229067779
gmvp_mean,turnover_l1,model,0.6251285990937129
cov_error_mean,fro,mix,0.024829430456807636
cov_error_mean,kl,mix,817.7908922494255
cov_error_mean,stein,mix,1635.5817844988546
cov_error_mean,logeuc,mix,87.12513178100713
gmvp_mean,gmvp_var,mix,8.813917211408843e-05
gmvp_mean,gmvp_vol,mix,0.007738417039385257
gmvp_mean,gmvp_sharpe,mix,1.1199721825930409
gmvp_mean,turnover_l1,mix,0.29249661918212727
cov_error_mean,fro,roll,0.028578227053309358
cov_error_mean,kl,roll,630549.3238832424
cov_error_mean,stein,roll,1261098.6477679724
cov_error_mean,logeuc,roll,69.09327958472628
gmvp_mean,gmvp_var,roll,8.776548022990906e-05
gmvp_mean,gmvp_vol,roll,0.007772104034370867
gmvp_mean,gmvp_sharpe,roll,1.0359734963203848
gmvp_mean,turnover_l1,roll,0.24529064751709384
cov_error_mean,fro,pers,0.030433729799564234
cov_error_mean,kl,pers,1237998.9126058072
cov_error_mean,stein,pers,2475997.8252119226
cov_error_mean,logeuc,pers,58.75916487916743
gmvp_mean,gmvp_var,pers,8.932498213778927e-05
gmvp_mean,gmvp_vol,pers,0.008000018534676807
gmvp_mean,gmvp_sharpe,pers,0.9979146910838832
gmvp_mean,turnover_l1,pers,0.4715442332383493
cov_error_mean,fro,shrink,0.025818711554163577
cov_error_mean,kl,shrink,902.8106994736659
cov_error_mean,stein,shrink,1805.6213989473245
cov_error_mean,logeuc,shrink,87.13431307043417
gmvp_mean,gmvp_var,shrink,9.147088893742121e-05
gmvp_mean,gmvp_vol,shrink,0.007892280692678454
gmvp_mean,gmvp_sharpe,shrink,1.1247950777223124
gmvp_mean,turnover_l1,shrink,0.18449164752933256
