section,metric,method,value
cov_error_mean,fro,model,0.02312609364692666
cov_error_mean,fro,mix,0.02069722568100679
cov_error_mean,fro,roll,0.02609429547436566
cov_error_mean,fro,pers,0.026699212026398387
cov_error_mean,fro,shrink,0.022678262994629435
cov_error_mean,kl,model,402.76918289715104
cov_error_mean,kl,mix,355.02791144644385
cov_error_mean,kl,roll,372.31802960592546
cov_error_mean,kl,pers,379.6913218611051
cov_error_mean,kl,shrink,356.3050656707462
cov_error_mean,stein,model,805.5383657943167
cov_error_mean,stein,mix,710.0558228928887
cov_error_mean,stein,roll,744.63605921182
cov_error_mean,stein,pers,759.3826437222046
cov_error_mean,stein,shrink,712.6101313414975
cov_error_mean,logeuc,model,79.48037923958427
cov_error_mean,logeuc,mix,85.04697217193402
cov_error_mean,logeuc,roll,82.98264522215811
cov_error_mean,logeuc,pers,82.43917436878361
cov_error_mean,logeuc,shrink,86.30156108341126
cov_error_mean,corr_offdiag_fro,model,28.65997487897344
cov_error_mean,corr_offdiag_fro,mix,26.574842172056382
cov_error_mean,corr_offdiag_fro,roll,26.809296012426636
cov_error_mean,corr_offdiag_fro,pers,27.635016719923325
cov_error_mean,corr_offdiag_fro,shrink,27.115054739585442
cov_error_mean,corr_spearman,model,0.24203448603541852
cov_error_mean,corr_spearman,mix,0.3923791802803442
cov_error_mean,corr_spearman,roll,0.38071983660260106
cov_error_mean,corr_spearman,pers,0.35913016299321193
cov_error_mean,corr_spearman,shrink,0.38071983660260106
cov_error_mean,eig_log_mse,model,61.233146514163934
cov_error_mean,eig_log_mse,mix,68.2473336463275
cov_error_mean,eig_log_mse,roll,61.95799538185859
cov_error_mean,eig_log_mse,pers,60.73396147338035
cov_error_mean,eig_log_mse,shrink,69.95723330608054
cov_error_mean,cond_ratio,model,4.798788058766314e-05
cov_error_mean,cond_ratio,mix,6.375830369669062e-05
cov_error_mean,cond_ratio,roll,0.0001311258895743583
cov_error_mean,cond_ratio,pers,0.0001340135158665649
cov_error_mean,cond_ratio,shrink,7.480345399334796e-05
gmvp_mean,gmvp_cumret,model,0.0047876682009970195
gmvp_mean,gmvp_cumret,mix,0.008713170120807669
gmvp_mean,gmvp_cumret,roll,0.011310187442782779
gmvp_mean,gmvp_cumret,pers,0.011769192094996245
gmvp_mean,gmvp_cumret,shrink,0.010521859561321295
gmvp_mean,gmvp_mean,model,0.0001653389348551593
gmvp_mean,gmvp_mean,mix,0.000284874822529269
gmvp_mean,gmvp_mean,roll,0.00037718378179433105
gmvp_mean,gmvp_mean,pers,0.0003892459583343377
gmvp_mean,gmvp_mean,shrink,0.00035188356691089013
gmvp_mean,gmvp_var,model,0.00012175300522353799
gmvp_mean,gmvp_var,mix,8.442478850344925e-05
gmvp_mean,gmvp_var,roll,9.795367037454899e-05
gmvp_mean,gmvp_var,pers,9.542752968756885e-05
gmvp_mean,gmvp_var,shrink,8.69245056067301e-05
gmvp_mean,gmvp_vol,model,0.008671483523976781
gmvp_mean,gmvp_vol,mix,0.007458467905173304
gmvp_mean,gmvp_vol,roll,0.008199046324404423
gmvp_mean,gmvp_vol,pers,0.008155606978702401
gmvp_mean,gmvp_vol,shrink,0.007587650549082733
gmvp_mean,gmvp_sharpe,model,0.9862501490649292
gmvp_mean,gmvp_sharpe,mix,1.199336243152533
gmvp_mean,gmvp_sharpe,roll,1.1965125833779677
gmvp_mean,gmvp_sharpe,pers,1.281218173253471
gmvp_mean,gmvp_sharpe,shrink,1.3286170519627816
gmvp_mean,turnover_l1,model,1.3027781992161656
gmvp_mean,turnover_l1,mix,0.7932126503535365
gmvp_mean,turnover_l1,roll,0.9947365870119812
gmvp_mean,turnover_l1,pers,1.0406320342456754
gmvp_mean,turnover_l1,shrink,0.6371785428498706
gmvp_mean,w_hhi,model,0.053417526911858894
gmvp_mean,w_hhi,mix,0.055316225408273106
gmvp_mean,w_hhi,roll,0.08413808474899552
gmvp_mean,w_hhi,pers,0.07184307528227023
gmvp_mean,w_hhi,shrink,0.053354256969824154
gmvp_mean,w_max_abs,model,0.06131153860702064
gmvp_mean,w_max_abs,mix,0.07155330683044615
gmvp_mean,w_max_abs,roll,0.07620232943264085
gmvp_mean,w_max_abs,pers,0.06966614768196608
gmvp_mean,w_max_abs,shrink,0.06990395066203178
gmvp_mean,w_l1,model,1.813708264157982
gmvp_mean,w_l1,mix,1.7568839702039583
gmvp_mean,w_l1,roll,2.216796528335238
gmvp_mean,w_l1,pers,2.0587687072963288
gmvp_mean,w_l1,shrink,1.7051844752457495
