section,metric,method,value
vol_error_mean,vol_mse,model,0.2329201572949954
vol_error_mean,vol_mae,model,0.3281414060405511
vol_error_mean,vol_rmse,model,0.42440378935832157
vol_error_mean,vol_mse,mix,0.24611681005910435
vol_error_mean,vol_mae,mix,0.34072849368224145
vol_error_mean,vol_rmse,mix,0.44408859537760476
vol_error_mean,vol_mse,roll,0.24584101182855228
vol_error_mean,vol_mae,roll,0.3419549368865929
vol_error_mean,vol_rmse,roll,0.44684071855118285
vol_error_mean,vol_mse,pers,0.23557304166523424
vol_error_mean,vol_mae,pers,0.35158912835884326
vol_error_mean,vol_rmse,pers,0.45645005753790663
vol_error_mean,vol_mse,shrink,0.2557617170467357
vol_error_mean,vol_mae,shrink,0.3471207172724698
vol_error_mean,vol_rmse,shrink,0.4553521024713903
