section,metric,method,value
vol_error_mean,vol_mse,model,0.27436729424658307
vol_error_mean,vol_mae,model,0.35445825839351214
vol_error_mean,vol_rmse,model,0.45781186862376855
vol_error_mean,vol_mse,mix,0.2442273576759125
vol_error_mean,vol_mae,mix,0.33827576976324214
vol_error_mean,vol_rmse,mix,0.440396946883145
vol_error_mean,vol_mse,roll,0.24584101182855228
vol_error_mean,vol_mae,roll,0.3419549368865929
vol_error_mean,vol_rmse,roll,0.44684071855118285
vol_error_mean,vol_mse,pers,0.23557304166523424
vol_error_mean,vol_mae,pers,0.35158912835884326
vol_error_mean,vol_rmse,pers,0.45645005753790663
vol_error_mean,vol_mse,shrink,0.2557617170467357
vol_error_mean,vol_mae,shrink,0.3471207172724698
vol_error_mean,vol_rmse,shrink,0.4553521024713903
